epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,164.099,0.50593,1.80564,0.37409,0.5138,0.09802,0.01182,0.00702,0.52892,1.72477,0.27724,3.32356e-05,3.32356e-05,0.0667977
2,325.78,0.3399,1.59488,0.22805,0.30537,0.2883,0.06771,0.04294,0.36965,1.56005,0.17317,6.65527e-05,6.65527e-05,0.0334976
3,477.078,0.37985,1.01094,0.28927,0.80282,0.45934,0.51826,0.34158,0.41726,0.78844,0.26517,9.98047e-05,9.98047e-05,0.000197556
4,627.582,0.39458,0.64182,0.32433,0.83395,0.47616,0.48012,0.33669,0.39688,0.69884,0.24853,9.97803e-05,9.97803e-05,9.97803e-05
5,766.347,0.37372,0.58233,0.31134,0.82333,0.52892,0.5407,0.38168,0.38048,0.6247,0.24177,9.96097e-05,9.96097e-05,9.96097e-05
6,875.654,0.36518,0.56942,0.29834,0.60394,0.52277,0.53207,0.38038,0.37435,0.61963,0.23123,9.93906e-05,9.93906e-05,9.93906e-05
7,986.273,0.35228,0.52558,0.29057,0.88711,0.51901,0.56226,0.38895,0.386,0.58489,0.24293,9.91232e-05,9.91232e-05,9.91232e-05
8,1098.74,0.34696,0.52379,0.28405,0.89398,0.68443,0.74261,0.54678,0.37572,0.59563,0.23418,9.88079e-05,9.88079e-05,9.88079e-05
9,1211.01,0.33135,0.49076,0.26765,0.87825,0.64737,0.68747,0.48498,0.36233,0.56041,0.22642,9.84449e-05,9.84449e-05,9.84449e-05
10,1324.05,0.32691,0.4839,0.26761,0.87959,0.72094,0.75587,0.57068,0.35007,0.56044,0.21545,9.80345e-05,9.80345e-05,9.80345e-05
11,1453.13,0.32587,0.4815,0.26253,0.79138,0.77254,0.79167,0.58478,0.36171,0.54492,0.21881,9.75773e-05,9.75773e-05,9.75773e-05
12,1593.38,0.30857,0.45929,0.25035,0.88284,0.63208,0.68288,0.51629,0.35665,0.59371,0.2169,9.70736e-05,9.70736e-05,9.70736e-05
13,1728.3,0.31119,0.45815,0.24546,0.87472,0.69949,0.76474,0.54976,0.35995,0.55222,0.2237,9.65239e-05,9.65239e-05,9.65239e-05
14,1869.29,0.30013,0.45362,0.24217,0.86716,0.63897,0.69084,0.52583,0.36717,0.56315,0.23056,9.59289e-05,9.59289e-05,9.59289e-05
15,2032.42,0.29709,0.4408,0.23711,0.86451,0.59913,0.62412,0.46443,0.36024,0.57803,0.21788,9.52889e-05,9.52889e-05,9.52889e-05
16,2186.95,0.2965,0.43158,0.23596,0.91138,0.71645,0.76649,0.57666,0.35088,0.57939,0.21024,9.46048e-05,9.46048e-05,9.46048e-05
17,2331.85,0.28211,0.42103,0.2286,0.86755,0.59659,0.63255,0.47395,0.35735,0.59259,0.21655,9.38772e-05,9.38772e-05,9.38772e-05
18,2487.69,0.28733,0.43159,0.22894,0.84212,0.71095,0.74316,0.53189,0.35865,0.57154,0.22266,9.31067e-05,9.31067e-05,9.31067e-05
19,2647.73,0.28219,0.41761,0.22603,0.90314,0.54988,0.59413,0.43689,0.35151,0.5494,0.21652,9.22942e-05,9.22942e-05,9.22942e-05
20,2807.26,0.27974,0.40949,0.22309,0.89073,0.65354,0.7101,0.54584,0.35812,0.54355,0.21882,9.14405e-05,9.14405e-05,9.14405e-05
21,2966.49,0.27544,0.39995,0.22052,0.87488,0.67163,0.70365,0.54446,0.35698,0.54717,0.21316,9.05463e-05,9.05463e-05,9.05463e-05
22,3130.62,0.27548,0.39864,0.21581,0.88927,0.65118,0.70627,0.55708,0.33829,0.56901,0.21107,8.96127e-05,8.96127e-05,8.96127e-05
23,3243.06,0.27116,0.39614,0.21699,0.90397,0.71571,0.76837,0.58834,0.35758,0.54376,0.20771,8.86404e-05,8.86404e-05,8.86404e-05
24,3406.05,0.26564,0.39525,0.21395,0.84214,0.60849,0.65337,0.48538,0.34641,0.56021,0.21205,8.76305e-05,8.76305e-05,8.76305e-05
25,3558.13,0.26075,0.38822,0.20344,0.78799,0.69805,0.72504,0.55443,0.33338,0.55505,0.20205,8.65839e-05,8.65839e-05,8.65839e-05
26,3685.5,0.2598,0.38295,0.20519,0.81083,0.72599,0.74598,0.57242,0.35718,0.58493,0.21909,8.55018e-05,8.55018e-05,8.55018e-05
27,3817.96,0.25322,0.38034,0.20148,0.78273,0.68692,0.71089,0.54724,0.34466,0.56085,0.20721,8.43851e-05,8.43851e-05,8.43851e-05
28,3960.86,0.25507,0.37396,0.20064,0.9052,0.73071,0.76475,0.59533,0.3397,0.55299,0.20527,8.32349e-05,8.32349e-05,8.32349e-05
29,4094.68,0.2492,0.36557,0.19422,0.88776,0.66995,0.71731,0.5444,0.35289,0.52571,0.21143,8.20525e-05,8.20525e-05,8.20525e-05
30,4230.51,0.24751,0.37237,0.19402,0.83316,0.57801,0.63883,0.48527,0.35663,0.56087,0.2124,8.08389e-05,8.08389e-05,8.08389e-05
31,4363.84,0.25045,0.37029,0.19579,0.86398,0.76444,0.77879,0.58357,0.36233,0.53724,0.21838,7.95954e-05,7.95954e-05,7.95954e-05
32,4507.79,0.24654,0.36655,0.1944,0.90824,0.66989,0.71071,0.54953,0.35532,0.53215,0.22258,7.83231e-05,7.83231e-05,7.83231e-05
33,4664.47,0.24688,0.36431,0.18894,0.86383,0.7126,0.7592,0.58251,0.35367,0.54746,0.21675,7.70234e-05,7.70234e-05,7.70234e-05
34,4808.44,0.2372,0.35743,0.18553,0.88982,0.66287,0.69927,0.53556,0.35204,0.53873,0.21025,7.56976e-05,7.56976e-05,7.56976e-05
35,4952.8,0.23281,0.3565,0.18282,0.93128,0.72685,0.77173,0.61072,0.34622,0.52912,0.20999,7.43468e-05,7.43468e-05,7.43468e-05
36,5104.51,0.23289,0.34967,0.18007,0.91027,0.72739,0.76764,0.58784,0.35335,0.54501,0.20467,7.29725e-05,7.29725e-05,7.29725e-05
37,5261.62,0.23375,0.34848,0.17854,0.90891,0.78311,0.83135,0.64709,0.34823,0.56116,0.21046,7.15761e-05,7.15761e-05,7.15761e-05
38,5417.04,0.22902,0.34561,0.1791,0.92052,0.71335,0.77637,0.58163,0.35408,0.54998,0.2139,7.01588e-05,7.01588e-05,7.01588e-05
39,5544.13,0.23037,0.3441,0.17868,0.82348,0.73762,0.763,0.59147,0.34691,0.60275,0.20749,6.87222e-05,6.87222e-05,6.87222e-05
40,5634.62,0.22837,0.34203,0.17833,0.84586,0.62369,0.64317,0.4904,0.34803,0.57156,0.20966,6.72675e-05,6.72675e-05,6.72675e-05
41,5722.85,0.22601,0.33824,0.17472,0.81129,0.69775,0.70558,0.54447,0.3645,0.54384,0.21985,6.57963e-05,6.57963e-05,6.57963e-05
42,5807.95,0.22139,0.33693,0.16943,0.88868,0.77212,0.77802,0.597,0.35782,0.54591,0.22408,6.43101e-05,6.43101e-05,6.43101e-05
43,5890.79,0.22298,0.3411,0.17421,0.93476,0.72514,0.77027,0.5856,0.36393,0.53002,0.22874,6.28101e-05,6.28101e-05,6.28101e-05
44,5972.84,0.21704,0.33002,0.1664,0.91908,0.73598,0.76996,0.59518,0.35402,0.51942,0.22125,6.12981e-05,6.12981e-05,6.12981e-05
45,6053.74,0.21656,0.32805,0.16511,0.90486,0.62167,0.6566,0.4959,0.35173,0.5369,0.20663,5.97754e-05,5.97754e-05,5.97754e-05
46,6133.79,0.21204,0.33144,0.16322,0.86962,0.6954,0.7201,0.55676,0.3497,0.5351,0.21746,5.82435e-05,5.82435e-05,5.82435e-05
47,6213.74,0.21758,0.32771,0.17062,0.914,0.74947,0.77382,0.58708,0.36773,0.52702,0.22601,5.6704e-05,5.6704e-05,5.6704e-05
48,6294.34,0.21376,0.32978,0.16261,0.83934,0.6321,0.64257,0.49491,0.35973,0.56036,0.2162,5.51584e-05,5.51584e-05,5.51584e-05
49,6376.07,0.20821,0.32279,0.16268,0.86542,0.68214,0.70045,0.53275,0.36172,0.56912,0.21413,5.36081e-05,5.36081e-05,5.36081e-05
50,6459.2,0.20918,0.31851,0.16122,0.88922,0.7156,0.7846,0.61083,0.34457,0.55416,0.20375,5.20548e-05,5.20548e-05,5.20548e-05
51,6541.21,0.20706,0.31595,0.15668,0.8409,0.75445,0.78099,0.59585,0.34059,0.55307,0.20196,5.05e-05,5.05e-05,5.05e-05
52,6621.84,0.20518,0.31623,0.15592,0.86317,0.74945,0.76559,0.58808,0.35369,0.56722,0.21926,4.89452e-05,4.89452e-05,4.89452e-05
53,6703.78,0.20396,0.31361,0.15401,0.89086,0.75495,0.77731,0.59332,0.35423,0.5485,0.21558,4.73919e-05,4.73919e-05,4.73919e-05
54,6784.4,0.20256,0.31214,0.1534,0.85273,0.73701,0.76287,0.58981,0.36382,0.55514,0.21068,4.58416e-05,4.58416e-05,4.58416e-05
