epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,121.14,0.43565,3.76164,0.40621,0.82981,0.86143,0.8318,0.61552,0.30507,0.53163,0.35589,0.00047473,0.00047473,0.00047473
2,231.472,0.39887,0.63191,0.38228,0.85131,0.70446,0.77274,0.55413,0.32721,0.70422,0.37291,0.000932232,0.000932232,0.000932232
3,341.398,0.40177,0.65981,0.36928,0.67656,0.67922,0.6946,0.5028,0.39409,1.15237,0.49507,0.00137087,0.00137087,0.00137087
4,451.068,0.39478,0.64118,0.36258,0.83342,0.7536,0.77764,0.56943,0.3345,0.61621,0.41794,0.00134412,0.00134412,0.00134412
5,560.232,0.37418,0.64981,0.35048,0.80359,0.76359,0.76907,0.56599,0.3303,0.62566,0.38866,0.00131582,0.00131582,0.00131582
6,669.794,0.37359,0.63053,0.35059,0.88191,0.79287,0.81892,0.6036,0.3165,0.63764,0.38005,0.00128753,0.00128753,0.00128753
7,779.099,0.36415,0.58433,0.34196,0.8901,0.84965,0.8706,0.63356,0.29944,0.54948,0.37163,0.00125923,0.00125923,0.00125923
8,887.005,0.35643,0.58762,0.33302,0.83774,0.87154,0.84698,0.64287,0.28047,0.56919,0.32455,0.00123094,0.00123094,0.00123094
9,997.541,0.35061,0.56212,0.32714,0.88102,0.86592,0.87255,0.66001,0.30803,0.49717,0.36412,0.00120265,0.00120265,0.00120265
10,1106.38,0.34741,0.54083,0.32534,0.74206,0.58825,0.6108,0.46577,0.3459,0.87784,0.41228,0.00117435,0.00117435,0.00117435
11,1215.72,0.35536,0.56685,0.33553,0.841,0.90594,0.88573,0.6621,0.30522,0.50424,0.34075,0.00114606,0.00114606,0.00114606
12,1324.76,0.33873,0.55948,0.3155,0.83681,0.8829,0.86599,0.66828,0.29348,0.51615,0.34095,0.00111776,0.00111776,0.00111776
13,1434.84,0.33579,0.53657,0.31077,0.87987,0.91226,0.89026,0.68378,0.31206,0.43854,0.38035,0.00108947,0.00108947,0.00108947
14,1543.07,0.33079,0.51843,0.31368,0.89091,0.90393,0.90208,0.68671,0.29893,0.47808,0.34047,0.00106118,0.00106118,0.00106118
15,1653.21,0.33107,0.52125,0.30726,0.86135,0.8919,0.87474,0.67138,0.27606,0.51459,0.33716,0.00103288,0.00103288,0.00103288
16,1761.83,0.31588,0.50984,0.29788,0.84062,0.91933,0.87973,0.68591,0.29182,0.46368,0.34818,0.00100459,0.00100459,0.00100459
17,1869.28,0.32078,0.50651,0.29953,0.88736,0.86502,0.89843,0.69069,0.29869,0.4947,0.39145,0.000976293,0.000976293,0.000976293
18,1978.31,0.31147,0.50057,0.29008,0.8913,0.89315,0.89175,0.68457,0.29975,0.44146,0.36316,0.000947999,0.000947999,0.000947999
19,2086.87,0.30459,0.48566,0.28517,0.89895,0.95704,0.92435,0.71885,0.28853,0.41037,0.34108,0.000919704,0.000919704,0.000919704
20,2196.19,0.29319,0.47075,0.26808,0.88588,0.91451,0.91255,0.71988,0.27854,0.41026,0.31918,0.00089141,0.00089141,0.00089141
21,2303.85,0.2948,0.45944,0.27638,0.87535,0.90393,0.89395,0.71132,0.27377,0.44203,0.314,0.000863116,0.000863116,0.000863116
22,2412.96,0.2939,0.45864,0.27238,0.89473,0.92483,0.92506,0.72216,0.2819,0.42045,0.32957,0.000834822,0.000834822,0.000834822
23,2521.46,0.28425,0.45108,0.26885,0.90449,0.90453,0.90383,0.72465,0.25988,0.43321,0.31984,0.000806528,0.000806528,0.000806528
24,2629.39,0.28537,0.45071,0.27099,0.92621,0.89619,0.91167,0.73002,0.27069,0.4282,0.31728,0.000778233,0.000778233,0.000778233
25,2738.96,0.27969,0.43891,0.26302,0.89664,0.93583,0.91455,0.72223,0.25996,0.40934,0.29485,0.000749939,0.000749939,0.000749939
26,2850.74,0.27102,0.43656,0.25594,0.89665,0.91163,0.91388,0.71728,0.28308,0.40313,0.33873,0.000721645,0.000721645,0.000721645
27,2962.92,0.27339,0.42526,0.25641,0.89921,0.92729,0.91067,0.73979,0.26785,0.42429,0.31513,0.000693351,0.000693351,0.000693351
28,3072.64,0.26577,0.43031,0.25137,0.8914,0.92023,0.91632,0.73486,0.26972,0.39448,0.30719,0.000665057,0.000665057,0.000665057
29,3182.42,0.26431,0.42443,0.25042,0.88393,0.94176,0.91129,0.74881,0.26561,0.39929,0.29587,0.000636762,0.000636762,0.000636762
30,3291.64,0.26343,0.4085,0.24723,0.90963,0.92654,0.91627,0.74451,0.25871,0.41084,0.29437,0.000608468,0.000608468,0.000608468
31,3400.56,0.25266,0.40432,0.23317,0.93196,0.94441,0.92758,0.7335,0.2779,0.3735,0.33904,0.000580174,0.000580174,0.000580174
32,3508.89,0.25194,0.41134,0.23088,0.92945,0.94126,0.92776,0.742,0.26551,0.40229,0.30799,0.00055188,0.00055188,0.00055188
33,3618.07,0.24431,0.39441,0.22493,0.90606,0.95263,0.92727,0.7511,0.25611,0.40732,0.2901,0.000523586,0.000523586,0.000523586
34,3725.9,0.2457,0.39005,0.22778,0.9271,0.94017,0.93668,0.75458,0.26469,0.35616,0.30106,0.000495291,0.000495291,0.000495291
35,3834.4,0.24123,0.3894,0.22611,0.90506,0.93184,0.90577,0.73593,0.27387,0.38432,0.32461,0.000466997,0.000466997,0.000466997
36,3948.42,0.2391,0.38632,0.22259,0.9237,0.93263,0.92274,0.73075,0.27803,0.39192,0.3227,0.000438703,0.000438703,0.000438703
37,4062.47,0.22881,0.37401,0.21156,0.90269,0.9406,0.9095,0.73618,0.26211,0.39946,0.30556,0.000410409,0.000410409,0.000410409
38,4175.81,0.22642,0.37241,0.2077,0.92919,0.96292,0.94007,0.76305,0.25074,0.35354,0.28466,0.000382115,0.000382115,0.000382115
39,4289.7,0.22533,0.36718,0.21195,0.92941,0.94328,0.92329,0.73954,0.2815,0.38396,0.32705,0.00035382,0.00035382,0.00035382
40,4402.07,0.22225,0.35657,0.21007,0.92788,0.95227,0.929,0.75705,0.26645,0.35207,0.29678,0.000325526,0.000325526,0.000325526
41,4512.04,0.16025,0.26328,0.18422,0.93028,0.94303,0.92114,0.74746,0.26039,0.38517,0.28745,0.000297232,0.000297232,0.000297232
42,4621.91,0.14874,0.25085,0.16668,0.92291,0.92573,0.92531,0.74104,0.26569,0.40783,0.31133,0.000268938,0.000268938,0.000268938
43,4731.34,0.1425,0.24264,0.15812,0.89417,0.95126,0.92559,0.75565,0.27578,0.36403,0.31233,0.000240644,0.000240644,0.000240644
44,4840.07,0.13964,0.24222,0.15552,0.90451,0.95461,0.92862,0.74423,0.26485,0.38368,0.29749,0.000212349,0.000212349,0.000212349
45,4950.27,0.13322,0.22931,0.14655,0.91217,0.93496,0.92597,0.75398,0.27147,0.346,0.29219,0.000184055,0.000184055,0.000184055
46,5060.41,0.1265,0.22331,0.1398,0.91105,0.94273,0.92603,0.74857,0.26419,0.37671,0.29386,0.000155761,0.000155761,0.000155761
47,5178.03,0.12315,0.21973,0.13248,0.90085,0.96382,0.92696,0.74571,0.2771,0.35934,0.31022,0.000127467,0.000127467,0.000127467
48,5314.01,0.1201,0.21737,0.13108,0.90635,0.93407,0.9253,0.73623,0.26188,0.41,0.3009,9.91726e-05,9.91726e-05,9.91726e-05
