epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,56.5529,1.18254,5.15903,0.01735,0.81893,0.09842,0.21816,0.12566,1.43481,3.0471,0.01633,0.0255,0.0085,0.0255,0.0085,0.0255,0.0085,0.0255,0.0085
2,100.928,1.40547,2.04244,0.02203,0.2487,0.4202,0.20552,0.08559,2.14949,4.82402,0.02944,0.0299967,0.00999891,0.0299967,0.00999891,0.0299967,0.00999891,0.0299967,0.00999891
3,147.273,1.46182,1.62973,0.02306,0.53619,0.43265,0.44997,0.23112,1.94145,2.15833,0.02424,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
4,202.638,1.41391,1.48783,0.02218,0.36164,0.4034,0.33094,0.14701,2.07464,3.00107,0.02683,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,245.369,1.3744,1.38547,0.02097,0.74424,0.35825,0.48204,0.2804,1.66741,1.8716,0.01915,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,291.149,1.36364,1.27535,0.02033,0.6038,0.44364,0.44312,0.23048,1.79056,1.91104,0.01947,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,335.673,1.35423,1.21761,0.02068,0.67808,0.5676,0.58753,0.36239,1.45802,1.66401,0.01582,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,380.749,1.3295,1.16959,0.01948,0.51441,0.52232,0.47377,0.27735,1.68837,1.82013,0.01937,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,423.508,1.31942,1.12883,0.01957,0.64057,0.47279,0.50535,0.32711,1.44552,1.70929,0.0159,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,484.034,1.29109,1.07415,0.01914,0.44163,0.50867,0.50408,0.2997,1.59176,1.75173,0.01797,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,544.669,1.27049,1.04672,0.01852,0.80877,0.53158,0.61912,0.40979,1.28385,1.46711,0.0146,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,620.254,1.28066,1.03068,0.01892,0.55336,0.51045,0.47263,0.29912,1.35803,2.11274,0.01473,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,725.828,1.27271,0.9869,0.01895,0.58177,0.59538,0.59276,0.3633,1.64165,1.65173,0.01829,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,798.191,1.24288,0.96206,0.01845,0.5841,0.65046,0.62824,0.39022,1.45086,1.35802,0.01555,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,873.189,1.24766,0.96822,0.01851,0.71032,0.47809,0.53033,0.34043,1.5023,1.75148,0.01527,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,948.248,1.21513,0.9157,0.01784,0.63735,0.58723,0.61956,0.38699,1.43698,1.3242,0.01617,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,1029.13,1.21646,0.90019,0.01797,0.71782,0.49859,0.60096,0.3935,1.41939,1.70406,0.0154,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
18,1115.09,1.21037,0.89775,0.01774,0.85704,0.49516,0.61473,0.44004,1.28339,1.58816,0.01361,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
19,1167.62,1.21408,0.88455,0.01768,0.78605,0.57651,0.66661,0.3842,1.58204,1.56286,0.01753,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
20,1226.16,1.19796,0.87202,0.01747,0.6859,0.47299,0.54953,0.3769,1.29496,1.5101,0.01384,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
21,1296.81,1.19886,0.85722,0.01743,0.69584,0.574,0.67238,0.47452,1.24879,1.17863,0.01307,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
22,1353.44,1.18017,0.85485,0.01722,0.78258,0.55502,0.68029,0.45417,1.3556,1.39983,0.01443,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
23,1404.76,1.18034,0.83338,0.01731,0.65287,0.59127,0.65741,0.44273,1.32549,1.36323,0.01381,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
24,1508.82,1.15591,0.82185,0.01677,0.86284,0.54784,0.65972,0.44564,1.28602,1.22403,0.01424,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
25,1707.94,1.17613,0.82731,0.0172,0.75071,0.56464,0.61117,0.4037,1.2459,1.38519,0.01352,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
26,1898.48,1.16518,0.82568,0.01668,0.85388,0.59031,0.69629,0.47252,1.29947,1.30041,0.01406,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
27,2051.99,1.15122,0.80357,0.01645,0.78049,0.57676,0.66898,0.46853,1.23884,1.34266,0.01277,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
28,2180.98,1.15201,0.7967,0.01656,0.88312,0.55803,0.69418,0.48829,1.20127,1.42445,0.01335,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
29,2238.85,1.13061,0.79219,0.01645,0.66616,0.65977,0.70589,0.5095,1.26655,1.28499,0.0131,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
30,2286.74,1.13824,0.77287,0.01627,0.69127,0.56027,0.6438,0.45017,1.26249,1.44438,0.01297,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,2341.46,1.12006,0.79444,0.01584,0.82011,0.54504,0.7061,0.50673,1.22133,1.26221,0.01246,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,2389.57,1.12133,0.76271,0.01601,0.79596,0.5639,0.6366,0.45421,1.22404,1.37929,0.01246,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,2438.23,1.10833,0.75201,0.0158,0.73374,0.61149,0.68354,0.46694,1.19896,1.33704,0.01237,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,2492.88,1.11639,0.73279,0.01619,0.73874,0.7107,0.73591,0.49919,1.28572,1.38939,0.01351,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,2548.33,1.08545,0.74055,0.01563,0.8954,0.53319,0.73688,0.52769,1.2433,1.35096,0.01269,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,2600.32,1.09111,0.7257,0.01563,0.72919,0.5564,0.67886,0.47815,1.19597,1.23773,0.01274,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,2653.46,1.06639,0.69704,0.01513,0.90801,0.63211,0.7442,0.50871,1.20007,1.11107,0.01271,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
