epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2113,1.15494,6.83559,0.01259,0.00367,0.8633,0.21218,0.13669,0.8636,6.45719,0.01166,0.0007,0.0007,0.0007
2,38.1827,1.32317,4.48377,0.01492,0.68035,0.22318,0.35532,0.21681,1.26464,2.93231,0.01991,0.00124986,0.00124986,0.00124986
3,51.0461,1.39428,2.71664,0.01629,0.63214,0.48479,0.5427,0.29033,1.51517,2.03993,0.02875,0.00124946,0.00124946,0.00124946
4,63.8206,1.3851,2.00267,0.0162,0.60244,0.57293,0.63083,0.37108,1.38933,1.63408,0.02264,0.00124878,0.00124878,0.00124878
5,76.5891,1.40892,1.75706,0.0163,0.61284,0.61908,0.65015,0.37707,1.41223,1.47952,0.02142,0.00124783,0.00124783,0.00124783
6,90.0123,1.37379,1.60603,0.01604,0.7898,0.66119,0.78357,0.50167,1.33515,1.30548,0.02272,0.00124661,0.00124661,0.00124661
7,103.052,1.36163,1.48481,0.01588,0.72409,0.71139,0.75566,0.4516,1.43469,1.30352,0.02227,0.00124512,0.00124512,0.00124512
8,115.841,1.34153,1.37138,0.01588,0.788,0.66132,0.74659,0.51842,1.14449,1.32547,0.0188,0.00124336,0.00124336,0.00124336
9,128.665,1.34481,1.33461,0.01556,0.7935,0.72607,0.81869,0.50636,1.29816,1.09381,0.02054,0.00124134,0.00124134,0.00124134
10,141.888,1.32898,1.26466,0.01546,0.78933,0.69873,0.82139,0.54288,1.27367,0.96048,0.02219,0.00123904,0.00123904,0.00123904
11,154.629,1.32503,1.24975,0.01531,0.78981,0.6955,0.79261,0.54355,1.17257,1.08478,0.01968,0.00123648,0.00123648,0.00123648
12,167.265,1.31649,1.22587,0.01511,0.78927,0.77482,0.85798,0.62201,1.01218,0.82638,0.01585,0.00123365,0.00123365,0.00123365
13,179.959,1.27994,1.15768,0.01491,0.83543,0.76795,0.87189,0.61741,1.08333,0.81834,0.01768,0.00123056,0.00123056,0.00123056
14,192.724,1.27913,1.13848,0.01478,0.86917,0.77555,0.89248,0.57643,1.24514,0.94779,0.02075,0.00122721,0.00122721,0.00122721
15,205.57,1.2754,1.1397,0.01468,0.82652,0.79265,0.88505,0.61693,1.12291,0.76453,0.01663,0.00122359,0.00122359,0.00122359
