epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.7289,1.11238,5.01444,0.01804,0.67309,0.58487,0.65772,0.45482,1.09786,2.10717,0.02307,0.00047473,0.00047473,0.00047473
2,81.1032,1.26606,2.43064,0.02119,0.70079,0.682,0.73208,0.47201,1.23972,1.32915,0.02709,0.000932232,0.000932232,0.000932232
3,112.245,1.33408,1.61221,0.02299,0.75872,0.7339,0.7902,0.50199,1.31143,1.0782,0.02931,0.00137087,0.00137087,0.00137087
4,143.515,1.3097,1.40688,0.02247,0.81189,0.79114,0.83031,0.56191,1.18794,0.88581,0.02598,0.00134412,0.00134412,0.00134412
5,174.037,1.28154,1.25965,0.02165,0.70763,0.80121,0.8095,0.54593,1.18601,0.90068,0.0255,0.00131582,0.00131582,0.00131582
6,204.234,1.25448,1.19983,0.02111,0.76604,0.77627,0.81293,0.54604,1.14252,0.91066,0.02508,0.00128753,0.00128753,0.00128753
7,230.702,1.22918,1.09981,0.02074,0.82917,0.82845,0.87041,0.61275,1.16158,0.77269,0.02481,0.00125923,0.00125923,0.00125923
8,263.12,1.21264,1.06813,0.0205,0.877,0.82591,0.87794,0.61378,1.12086,0.7082,0.02341,0.00123094,0.00123094,0.00123094
9,290.574,1.19608,1.02698,0.01996,0.81345,0.84867,0.86074,0.62056,1.08293,0.7709,0.02365,0.00120265,0.00120265,0.00120265
10,320.792,1.17719,0.97792,0.01946,0.89662,0.85618,0.89198,0.63351,1.02388,0.69916,0.02066,0.00117435,0.00117435,0.00117435
11,350.793,1.1508,0.93849,0.01915,0.80422,0.8563,0.86362,0.61931,1.0853,0.74202,0.02323,0.00114606,0.00114606,0.00114606
12,381.096,1.13761,0.925,0.01879,0.82318,0.88922,0.88454,0.63989,1.03841,0.66073,0.02201,0.00111776,0.00111776,0.00111776
13,412.248,1.11817,0.9048,0.01861,0.8907,0.88753,0.90787,0.66862,0.96953,0.63459,0.01996,0.00108947,0.00108947,0.00108947
14,442.693,1.10985,0.8889,0.01832,0.89955,0.8802,0.89624,0.6582,1.02931,0.64275,0.02192,0.00106118,0.00106118,0.00106118
15,473.34,1.10545,0.87893,0.01833,0.89125,0.86655,0.90904,0.65992,1.0102,0.59329,0.02192,0.00103288,0.00103288,0.00103288
16,502.036,1.09163,0.84337,0.01783,0.87629,0.85703,0.9063,0.65893,1.03095,0.6159,0.02201,0.00100459,0.00100459,0.00100459
17,533.809,1.06173,0.81018,0.01743,0.87687,0.86988,0.90743,0.6578,0.99644,0.63936,0.02153,0.000976293,0.000976293,0.000976293
18,566.774,1.06047,0.80879,0.01734,0.93895,0.83238,0.9098,0.68788,0.94686,0.62447,0.01975,0.000947999,0.000947999,0.000947999
19,599.907,1.04306,0.78693,0.01719,0.8715,0.93765,0.91975,0.6929,0.96576,0.55684,0.01995,0.000919704,0.000919704,0.000919704
20,629.828,1.02506,0.75627,0.01667,0.85843,0.87818,0.90167,0.67329,0.97936,0.62012,0.0214,0.00089141,0.00089141,0.00089141
21,659.348,1.02537,0.74874,0.01666,0.87167,0.92943,0.92333,0.70354,0.92146,0.56423,0.02011,0.000863116,0.000863116,0.000863116
22,690.871,1.00926,0.72176,0.01629,0.87991,0.89952,0.91696,0.70821,0.90047,0.5833,0.01811,0.000834822,0.000834822,0.000834822
23,720.261,0.99353,0.71132,0.01625,0.89879,0.89052,0.92287,0.71375,0.90279,0.4688,0.01812,0.000806528,0.000806528,0.000806528
24,750.32,0.99104,0.7031,0.01628,0.86869,0.91255,0.93154,0.71508,0.91338,0.55787,0.01893,0.000778233,0.000778233,0.000778233
25,779.611,0.96498,0.69082,0.01547,0.9079,0.89089,0.92609,0.70694,0.89269,0.48611,0.01833,0.000749939,0.000749939,0.000749939
26,809.235,0.94993,0.68033,0.01534,0.90949,0.89764,0.92662,0.72424,0.87477,0.45148,0.01792,0.000721645,0.000721645,0.000721645
27,839.114,0.95732,0.66708,0.01538,0.87026,0.91139,0.93161,0.7351,0.8858,0.51545,0.01812,0.000693351,0.000693351,0.000693351
28,870.558,0.94812,0.65324,0.01521,0.89957,0.92161,0.92219,0.72267,0.86568,0.48729,0.01743,0.000665057,0.000665057,0.000665057
29,901.493,0.92692,0.64498,0.01504,0.92449,0.87294,0.91375,0.7184,0.90172,0.47354,0.0191,0.000636762,0.000636762,0.000636762
30,932.174,0.91213,0.61866,0.01463,0.89078,0.88988,0.91727,0.71999,0.87317,0.53523,0.01788,0.000608468,0.000608468,0.000608468
31,961.875,0.90712,0.61515,0.0144,0.91862,0.88216,0.91985,0.72232,0.86959,0.53108,0.01765,0.000580174,0.000580174,0.000580174
32,994.73,0.88629,0.60278,0.014,0.88025,0.92958,0.92002,0.70352,0.87474,0.49211,0.01797,0.00055188,0.00055188,0.00055188
33,1024.63,0.87741,0.59841,0.01404,0.91452,0.93169,0.93826,0.742,0.85734,0.43325,0.01735,0.000523586,0.000523586,0.000523586
34,1055.21,0.86892,0.57792,0.01366,0.91229,0.92522,0.9266,0.72573,0.86369,0.49224,0.01771,0.000495291,0.000495291,0.000495291
35,1083.45,0.86112,0.58974,0.01349,0.87963,0.92798,0.92798,0.72398,0.89499,0.51072,0.01871,0.000466997,0.000466997,0.000466997
36,1116.52,0.85728,0.55317,0.01363,0.91125,0.9265,0.93175,0.74548,0.8264,0.44374,0.01658,0.000438703,0.000438703,0.000438703
37,1150.8,0.84282,0.55903,0.01325,0.88253,0.92233,0.92969,0.73188,0.85395,0.5143,0.01719,0.000410409,0.000410409,0.000410409
38,1183.3,0.83343,0.53801,0.01317,0.89795,0.91041,0.93123,0.74166,0.86597,0.49109,0.01782,0.000382115,0.000382115,0.000382115
39,1214.45,0.81366,0.52859,0.01274,0.9086,0.91166,0.93592,0.74804,0.84084,0.45531,0.01709,0.00035382,0.00035382,0.00035382
40,1245.23,0.81382,0.52923,0.01274,0.87874,0.94389,0.93193,0.73927,0.86863,0.46824,0.0179,0.000325526,0.000325526,0.000325526
41,1277.46,0.68446,0.28672,0.01458,0.89992,0.89135,0.93404,0.74833,0.85746,0.52351,0.0173,0.000297232,0.000297232,0.000297232
42,1309.17,0.65219,0.27078,0.01381,0.90599,0.92233,0.92588,0.74299,0.83888,0.48673,0.01696,0.000268938,0.000268938,0.000268938
43,1341.31,0.63762,0.24935,0.01334,0.87403,0.93381,0.92574,0.74628,0.83449,0.51797,0.01671,0.000240644,0.000240644,0.000240644
44,1371.47,0.61016,0.24024,0.01258,0.88569,0.9341,0.91893,0.74153,0.83,0.56034,0.01677,0.000212349,0.000212349,0.000212349
45,1404.52,0.59728,0.23129,0.01236,0.87484,0.94723,0.92536,0.74713,0.84205,0.54881,0.01678,0.000184055,0.000184055,0.000184055
46,1435.68,0.5998,0.23193,0.01234,0.90587,0.93087,0.93223,0.74496,0.83032,0.49438,0.0167,0.000155761,0.000155761,0.000155761
47,1468.2,0.58351,0.22173,0.01197,0.90058,0.92581,0.92931,0.75276,0.83076,0.53005,0.0168,0.000127467,0.000127467,0.000127467
48,1498.63,0.57454,0.22004,0.0118,0.91078,0.90716,0.92748,0.75169,0.83148,0.52019,0.01669,9.91726e-05,9.91726e-05,9.91726e-05
