epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0933,1.1562,12.1932,0.01396,0.42522,0.39026,0.36978,0.20286,1.40645,2.56663,0.02578,0.000412234,0.000412234,0.000412234
2,46.2799,1.38191,2.35339,0.01796,0.56239,0.49421,0.48783,0.3073,1.43477,1.89385,0.02665,0.000828811,0.000828811,0.000828811
3,62.9955,1.41599,1.86864,0.0189,0.40705,0.42289,0.38746,0.23688,1.49765,2.29045,0.02825,0.00124503,0.00124503,0.00124503
4,79.559,1.46587,1.7717,0.02009,0.61104,0.5296,0.57105,0.34046,1.46233,1.59805,0.02777,0.00124878,0.00124878,0.00124878
5,96.1173,1.41538,1.61959,0.0189,0.59179,0.61375,0.59782,0.37277,1.37243,1.56486,0.02378,0.00124783,0.00124783,0.00124783
6,112.789,1.39762,1.4832,0.01819,0.6938,0.64493,0.6777,0.37571,1.65433,1.39591,0.03379,0.00124661,0.00124661,0.00124661
7,129.761,1.37117,1.46343,0.0184,0.75783,0.69722,0.77565,0.48713,1.32891,1.10447,0.02303,0.00124512,0.00124512,0.00124512
8,146.441,1.32103,1.31542,0.01688,0.80401,0.661,0.78103,0.47263,1.38171,1.06003,0.02422,0.00124336,0.00124336,0.00124336
9,163.053,1.33789,1.31031,0.01726,0.82381,0.68659,0.8169,0.48974,1.43742,0.96117,0.02494,0.00124134,0.00124134,0.00124134
10,179.562,1.31997,1.25985,0.01712,0.80402,0.75111,0.83077,0.55914,1.22904,0.88638,0.02234,0.00123904,0.00123904,0.00123904
11,196.183,1.26812,1.19898,0.01603,0.77844,0.75698,0.82199,0.54426,1.23031,0.93955,0.02092,0.00123648,0.00123648,0.00123648
12,212.763,1.27862,1.18505,0.01657,0.76681,0.79205,0.82883,0.51542,1.34758,0.9601,0.02339,0.00123365,0.00123365,0.00123365
13,229.251,1.26068,1.17694,0.01613,0.80545,0.78697,0.84491,0.56261,1.24517,0.82466,0.02122,0.00123056,0.00123056,0.00123056
14,245.851,1.26456,1.15838,0.01602,0.79435,0.7644,0.83872,0.54773,1.24218,1.02243,0.02087,0.00122721,0.00122721,0.00122721
15,262.421,1.25121,1.12235,0.01611,0.77934,0.78434,0.82266,0.55683,1.1834,0.95682,0.0196,0.00122359,0.00122359,0.00122359
16,278.895,1.23999,1.08371,0.01596,0.82105,0.80377,0.85341,0.55417,1.26962,0.79623,0.02152,0.00121972,0.00121972,0.00121972
17,295.428,1.24393,1.04419,0.01586,0.81445,0.8255,0.88518,0.60572,1.17009,0.73842,0.02007,0.00121558,0.00121558,0.00121558
18,311.939,1.22548,1.09843,0.01555,0.84762,0.74696,0.84771,0.58961,1.14515,0.8343,0.02015,0.00121119,0.00121119,0.00121119
19,328.404,1.20157,0.99582,0.01478,0.85887,0.76635,0.87362,0.58162,1.20665,0.81574,0.02126,0.00120655,0.00120655,0.00120655
20,345.077,1.21104,1.03037,0.01525,0.79245,0.80116,0.8669,0.59831,1.12199,0.82126,0.01893,0.00120165,0.00120165,0.00120165
21,361.556,1.20147,1.0046,0.0149,0.84148,0.81816,0.87611,0.59118,1.18077,0.75718,0.01965,0.00119651,0.00119651,0.00119651
22,378.056,1.18284,0.97668,0.01456,0.86886,0.81401,0.89258,0.63875,1.0585,0.68396,0.01775,0.00119111,0.00119111,0.00119111
23,394.63,1.18638,0.98282,0.01527,0.87713,0.86387,0.91758,0.60397,1.22079,0.65193,0.02053,0.00118547,0.00118547,0.00118547
24,411.149,1.17549,0.93987,0.01447,0.81279,0.88214,0.9136,0.6096,1.1868,0.67561,0.01935,0.00117959,0.00117959,0.00117959
25,427.587,1.18675,0.97827,0.01458,0.87461,0.79707,0.88029,0.61059,1.14751,0.75167,0.01958,0.00117346,0.00117346,0.00117346
26,444.248,1.18278,0.92543,0.01457,0.82323,0.78882,0.88202,0.60654,1.14819,0.81167,0.01905,0.0011671,0.0011671,0.0011671
27,460.785,1.15382,0.89403,0.01414,0.87156,0.81713,0.90372,0.63784,1.08347,0.66019,0.01743,0.00116051,0.00116051,0.00116051
28,477.271,1.14997,0.91227,0.01406,0.82584,0.84177,0.8808,0.62816,1.04793,0.72376,0.01817,0.00115368,0.00115368,0.00115368
29,493.884,1.12837,0.86253,0.01391,0.85687,0.86472,0.92587,0.64006,1.11917,0.60636,0.01793,0.00114662,0.00114662,0.00114662
30,510.451,1.12309,0.89591,0.01376,0.90082,0.84827,0.92273,0.6671,1.05488,0.57558,0.01673,0.00113934,0.00113934,0.00113934
31,527.141,1.1302,0.88398,0.01395,0.90175,0.84284,0.91323,0.65175,1.06184,0.63393,0.01709,0.00113183,0.00113183,0.00113183
32,543.981,1.11518,0.87643,0.0138,0.84957,0.84735,0.91472,0.67145,1.02177,0.63103,0.01698,0.0011241,0.0011241,0.0011241
