epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.6461,1.27648,4.44421,0.02151,0.65107,0.6828,0.68887,0.4028,1.3926,1.41895,0.03228,0.00047473,0.00047473,0.00047473
2,148.796,1.48586,1.64601,0.02651,0.72895,0.63178,0.6918,0.41042,1.42953,1.36806,0.03268,0.000932232,0.000932232,0.000932232
3,216.442,1.50989,1.45473,0.02644,0.7659,0.66864,0.73585,0.42448,1.55898,1.19865,0.03728,0.00137087,0.00137087,0.00137087
4,281.894,1.49328,1.39897,0.02645,0.70981,0.80223,0.77273,0.48409,1.43084,0.99577,0.03312,0.00134412,0.00134412,0.00134412
5,348.409,1.43054,1.30886,0.02497,0.76339,0.68594,0.75518,0.47438,1.3392,1.10375,0.0308,0.00131582,0.00131582,0.00131582
6,416.094,1.40063,1.23016,0.02425,0.91431,0.74432,0.84558,0.57328,1.26899,0.88331,0.02835,0.00128753,0.00128753,0.00128753
7,482.116,1.35359,1.15906,0.02331,0.83641,0.84737,0.86946,0.54903,1.29982,0.74348,0.02858,0.00125923,0.00125923,0.00125923
8,548.6,1.32745,1.13572,0.02236,0.78531,0.75996,0.78576,0.54032,1.16299,0.98568,0.02485,0.00123094,0.00123094,0.00123094
9,615.207,1.30256,1.06157,0.02244,0.81864,0.86917,0.86551,0.58279,1.21868,0.78953,0.02788,0.00120265,0.00120265,0.00120265
10,682.31,1.26155,1.02095,0.02108,0.87363,0.79324,0.83911,0.59098,1.15287,0.79953,0.02547,0.00117435,0.00117435,0.00117435
11,750.091,1.24538,0.98724,0.02073,0.86665,0.87144,0.89479,0.62141,1.13791,0.67684,0.02536,0.00114606,0.00114606,0.00114606
12,816.463,1.23451,0.95573,0.02088,0.86253,0.87403,0.8775,0.62193,1.14377,0.63733,0.02469,0.00111776,0.00111776,0.00111776
13,884.226,1.19671,0.94675,0.02018,0.84361,0.8218,0.85392,0.61462,1.10974,0.69781,0.02352,0.00108947,0.00108947,0.00108947
14,950.832,1.19205,0.92525,0.02016,0.85813,0.87386,0.88605,0.61683,1.09086,0.64478,0.0226,0.00106118,0.00106118,0.00106118
15,1017.48,1.15494,0.90036,0.01946,0.87318,0.87471,0.8892,0.64821,1.04049,0.64784,0.02253,0.00103288,0.00103288,0.00103288
16,1085.61,1.16069,0.87061,0.01911,0.92113,0.86537,0.91603,0.66879,1.0164,0.58145,0.0214,0.00100459,0.00100459,0.00100459
17,1153.46,1.11528,0.82286,0.01844,0.90065,0.8479,0.90375,0.66901,1.00219,0.57244,0.02131,0.000976293,0.000976293,0.000976293
18,1220.96,1.12519,0.81427,0.0189,0.8952,0.8815,0.91019,0.64661,1.07842,0.63319,0.02203,0.000947999,0.000947999,0.000947999
19,1285.29,1.10969,0.80815,0.01832,0.88104,0.88254,0.88733,0.63156,1.09976,0.63368,0.02359,0.000919704,0.000919704,0.000919704
20,1352.66,1.09478,0.79426,0.01807,0.88345,0.89428,0.91028,0.64105,1.0632,0.586,0.02324,0.00089141,0.00089141,0.00089141
21,1420.56,1.08538,0.75287,0.01767,0.89337,0.90498,0.91954,0.69388,0.98442,0.55109,0.02123,0.000863116,0.000863116,0.000863116
22,1489.36,1.05599,0.76902,0.01733,0.86544,0.92368,0.92204,0.71271,0.91367,0.54146,0.01905,0.000834822,0.000834822,0.000834822
23,1558.79,1.05166,0.76048,0.01715,0.90388,0.90727,0.91948,0.7065,0.93894,0.50611,0.01906,0.000806528,0.000806528,0.000806528
24,1627.91,1.03053,0.73093,0.01694,0.8811,0.91045,0.91592,0.69355,0.92124,0.56441,0.01875,0.000778233,0.000778233,0.000778233
25,1696.89,1.02006,0.69456,0.0167,0.91431,0.91874,0.92996,0.69274,0.88929,0.5285,0.01796,0.000749939,0.000749939,0.000749939
26,1765.86,1.00744,0.71114,0.01634,0.89012,0.95522,0.92602,0.71007,0.89623,0.52659,0.0179,0.000721645,0.000721645,0.000721645
27,1835.43,1.0092,0.67393,0.01641,0.89,0.93112,0.93026,0.71391,0.90371,0.48645,0.01833,0.000693351,0.000693351,0.000693351
28,1900.8,0.98827,0.65537,0.016,0.89481,0.88889,0.91045,0.70448,0.89849,0.50898,0.01844,0.000665057,0.000665057,0.000665057
29,1964.75,0.97762,0.65875,0.01587,0.88816,0.92814,0.91719,0.7167,0.8762,0.56334,0.01723,0.000636762,0.000636762,0.000636762
30,2025.37,0.96375,0.65068,0.01563,0.94469,0.92283,0.93739,0.73953,0.88114,0.40976,0.01761,0.000608468,0.000608468,0.000608468
31,2086.92,0.94425,0.64297,0.01535,0.90508,0.93986,0.93633,0.74358,0.88921,0.46001,0.01767,0.000580174,0.000580174,0.000580174
32,2144.5,0.9324,0.62446,0.01505,0.94702,0.8909,0.92911,0.73883,0.88634,0.45022,0.01814,0.00055188,0.00055188,0.00055188
33,2205.36,0.93222,0.61499,0.01513,0.91913,0.92946,0.92985,0.74186,0.86583,0.45061,0.01745,0.000523586,0.000523586,0.000523586
34,2266.89,0.92299,0.5991,0.01496,0.9072,0.945,0.9414,0.73449,0.85651,0.41181,0.01693,0.000495291,0.000495291,0.000495291
35,2328.01,0.90977,0.58676,0.01457,0.93778,0.92934,0.94221,0.74296,0.85032,0.42598,0.01682,0.000466997,0.000466997,0.000466997
36,2386.63,0.89773,0.57131,0.01433,0.9071,0.93911,0.92308,0.71879,0.88658,0.45709,0.018,0.000438703,0.000438703,0.000438703
37,2447.28,0.88079,0.55025,0.01405,0.91647,0.96579,0.94238,0.74762,0.84887,0.39936,0.01664,0.000410409,0.000410409,0.000410409
38,2508.44,0.87737,0.54404,0.01389,0.94077,0.93006,0.94223,0.75323,0.8541,0.4102,0.01702,0.000382115,0.000382115,0.000382115
39,2569.99,0.87025,0.53549,0.01399,0.89297,0.937,0.9364,0.7495,0.84194,0.43708,0.01681,0.00035382,0.00035382,0.00035382
40,2629.25,0.85034,0.52196,0.01335,0.89791,0.94708,0.93522,0.75391,0.83366,0.43754,0.01643,0.000325526,0.000325526,0.000325526
41,2688.5,0.71604,0.2912,0.01547,0.91652,0.94421,0.94401,0.74229,0.86981,0.41062,0.01757,0.000297232,0.000297232,0.000297232
42,2748.4,0.696,0.26946,0.01478,0.91373,0.94684,0.9332,0.74155,0.83979,0.43386,0.01682,0.000268938,0.000268938,0.000268938
43,2807.92,0.67026,0.25645,0.01426,0.9044,0.95386,0.94771,0.75287,0.85042,0.39967,0.01712,0.000240644,0.000240644,0.000240644
44,2864.43,0.66111,0.25495,0.01392,0.90512,0.93835,0.93749,0.74934,0.83933,0.41662,0.01686,0.000212349,0.000212349,0.000212349
45,2922.55,0.63713,0.23743,0.01329,0.92442,0.94817,0.94159,0.74248,0.8497,0.40372,0.0172,0.000184055,0.000184055,0.000184055
46,2979.65,0.62632,0.23035,0.01304,0.89676,0.94166,0.93686,0.75348,0.83742,0.43134,0.0167,0.000155761,0.000155761,0.000155761
47,3034.82,0.61876,0.22617,0.01286,0.92764,0.90014,0.93845,0.75015,0.83836,0.42833,0.01663,0.000127467,0.000127467,0.000127467
48,3092.47,0.60727,0.2259,0.01244,0.91043,0.93999,0.94122,0.75111,0.84291,0.43604,0.01693,9.91726e-05,9.91726e-05,9.91726e-05
49,3149.28,0.59306,0.2168,0.01217,0.90425,0.94072,0.94415,0.76259,0.82358,0.42027,0.01645,7.08784e-05,7.08784e-05,7.08784e-05
50,3207.8,0.5937,0.21736,0.01217,0.91303,0.93895,0.94715,0.76511,0.81889,0.41029,0.0162,4.25842e-05,4.25842e-05,4.25842e-05
