epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0442,1.2296,2.10455,1.48378,0.6683,0.65359,0.6782,0.4254,1.21439,1.68932,1.54513,0.00047473,0.00047473,0.00047473
2,40.3262,1.2989,1.62173,1.5207,0.68967,0.6038,0.63167,0.33899,1.50178,2.05558,1.84042,0.000932232,0.000932232,0.000932232
3,57.0929,1.32328,1.45613,1.54594,0.72593,0.7221,0.74054,0.45364,1.37938,1.424,1.72303,0.00137087,0.00137087,0.00137087
4,76.0726,1.28549,1.34047,1.51469,0.781,0.72331,0.7958,0.52356,1.21059,1.20249,1.51408,0.00134412,0.00134412,0.00134412
5,92.2157,1.23194,1.1949,1.47107,0.85292,0.79267,0.83262,0.57036,1.15264,1.00476,1.50222,0.00131582,0.00131582,0.00131582
6,111.435,1.1912,1.14715,1.44861,0.87442,0.81377,0.88984,0.59386,1.1461,0.88803,1.47077,0.00128753,0.00128753,0.00128753
7,127.153,1.16409,1.07574,1.42386,0.83354,0.77432,0.80628,0.52514,1.21494,1.05829,1.52667,0.00125923,0.00125923,0.00125923
8,146.031,1.13763,1.04048,1.40795,0.85418,0.8109,0.85187,0.57384,1.11322,0.88211,1.44287,0.00123094,0.00123094,0.00123094
9,161.878,1.11736,0.9968,1.38961,0.89271,0.78657,0.86113,0.60499,1.07467,0.83225,1.42559,0.00120265,0.00120265,0.00120265
10,181.043,1.10232,0.96704,1.37202,0.88924,0.82374,0.87369,0.63717,1.03671,0.82106,1.3926,0.00117435,0.00117435,0.00117435
11,197.403,1.07523,0.93332,1.3597,0.8425,0.88891,0.88982,0.63493,1.06074,0.78753,1.40682,0.00114606,0.00114606,0.00114606
12,215.98,1.06934,0.9074,1.35497,0.90101,0.88908,0.8941,0.63805,1.02688,0.76761,1.37195,0.00111776,0.00111776,0.00111776
13,231.974,1.05228,0.89639,1.34513,0.91537,0.86841,0.91325,0.65953,0.99397,0.74337,1.35606,0.00108947,0.00108947,0.00108947
14,250.157,1.02968,0.86943,1.32714,0.90836,0.85195,0.90626,0.64695,0.97009,0.73928,1.34531,0.00106118,0.00106118,0.00106118
15,265.775,1.02371,0.85504,1.32296,0.91023,0.86105,0.90038,0.64728,0.9901,0.70331,1.39062,0.00103288,0.00103288,0.00103288
16,283.777,1.01264,0.83603,1.30763,0.85182,0.88537,0.88648,0.64122,0.99346,0.74327,1.38041,0.00100459,0.00100459,0.00100459
17,299.588,0.98787,0.81539,1.29612,0.87373,0.88827,0.90352,0.6724,0.9346,0.6773,1.30435,0.000976293,0.000976293,0.000976293
18,317.682,0.98289,0.78891,1.2971,0.87963,0.88684,0.89373,0.67176,0.9242,0.67432,1.30616,0.000947999,0.000947999,0.000947999
19,332.685,0.96354,0.78987,1.28025,0.88441,0.88147,0.90753,0.66025,0.94527,0.66441,1.32862,0.000919704,0.000919704,0.000919704
20,350.375,0.96135,0.76508,1.27405,0.87516,0.89446,0.90076,0.64755,0.98338,0.6546,1.36967,0.00089141,0.00089141,0.00089141
21,366.519,0.96115,0.75984,1.27931,0.88951,0.89587,0.91868,0.6761,0.93237,0.65511,1.32402,0.000863116,0.000863116,0.000863116
22,384.442,0.94084,0.74353,1.25699,0.90975,0.90983,0.91309,0.69267,0.91633,0.6656,1.2835,0.000834822,0.000834822,0.000834822
23,400.021,0.92637,0.73401,1.25544,0.91283,0.91021,0.90847,0.68958,0.92315,0.66121,1.31812,0.000806528,0.000806528,0.000806528
24,415.276,0.93283,0.72077,1.26231,0.91414,0.8995,0.92399,0.69055,0.89454,0.60242,1.28708,0.000778233,0.000778233,0.000778233
25,432.96,0.91165,0.71008,1.24451,0.917,0.89788,0.92658,0.70611,0.89743,0.59661,1.28365,0.000749939,0.000749939,0.000749939
26,448.576,0.89347,0.69519,1.23378,0.90196,0.93959,0.93165,0.69982,0.87562,0.55334,1.26234,0.000721645,0.000721645,0.000721645
27,466.535,0.90942,0.69504,1.24065,0.89179,0.93803,0.93242,0.70692,0.92231,0.5739,1.30674,0.000693351,0.000693351,0.000693351
28,482.267,0.89111,0.67321,1.2309,0.93587,0.92198,0.94146,0.70477,0.87852,0.55066,1.27081,0.000665057,0.000665057,0.000665057
29,500.03,0.88221,0.67033,1.22694,0.90131,0.93022,0.93097,0.71685,0.86441,0.55289,1.24589,0.000636762,0.000636762,0.000636762
30,516.298,0.8603,0.64263,1.21116,0.93355,0.87844,0.92537,0.70956,0.88034,0.57017,1.27378,0.000608468,0.000608468,0.000608468
31,534.364,0.86,0.64762,1.20836,0.91181,0.90993,0.92278,0.6929,0.89469,0.57823,1.27877,0.000580174,0.000580174,0.000580174
32,549.859,0.83634,0.63174,1.1951,0.92542,0.90035,0.91764,0.71204,0.89382,0.56157,1.27686,0.00055188,0.00055188,0.00055188
33,567.431,0.83398,0.62571,1.19915,0.92008,0.90805,0.92885,0.72186,0.86087,0.5388,1.24819,0.000523586,0.000523586,0.000523586
34,582.578,0.83045,0.62215,1.19159,0.91005,0.92836,0.93041,0.72686,0.84903,0.54916,1.23798,0.000495291,0.000495291,0.000495291
35,600.155,0.81735,0.61532,1.17883,0.91099,0.92411,0.93102,0.71295,0.87242,0.55028,1.30046,0.000466997,0.000466997,0.000466997
36,615.43,0.81463,0.60006,1.17935,0.90057,0.92475,0.92254,0.71046,0.86674,0.54519,1.29433,0.000438703,0.000438703,0.000438703
37,632.967,0.80558,0.60156,1.17325,0.92001,0.91173,0.94241,0.72993,0.85828,0.5349,1.25224,0.000410409,0.000410409,0.000410409
38,647.626,0.79127,0.58643,1.16608,0.92483,0.92717,0.93326,0.71953,0.86616,0.52548,1.2599,0.000382115,0.000382115,0.000382115
39,665.968,0.77864,0.5764,1.15987,0.90878,0.91133,0.91938,0.71425,0.85928,0.54511,1.26151,0.00035382,0.00035382,0.00035382
40,681.093,0.77513,0.57512,1.15802,0.88909,0.9347,0.92927,0.7151,0.87699,0.54279,1.27993,0.000325526,0.000325526,0.000325526
41,699.556,0.68438,0.41161,1.13071,0.91783,0.93669,0.93616,0.73028,0.83433,0.52059,1.24136,0.000297232,0.000297232,0.000297232
