epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3397,1.29549,1.68012,1.5252,0.7029,0.4904,0.56864,0.33227,1.51771,1.69726,1.83091,0.00047473,0.00047473,0.00047473
2,59.8419,1.37979,1.47868,1.59148,0.4567,0.51602,0.43873,0.22676,1.53226,3.68918,1.82417,0.000932232,0.000932232,0.000932232
3,81.9786,1.38577,1.42983,1.60044,0.76999,0.6881,0.70681,0.41416,1.41443,1.26764,1.75086,0.00137087,0.00137087,0.00137087
4,101.292,1.32811,1.34596,1.54552,0.77851,0.72133,0.78527,0.5079,1.24351,1.12578,1.57608,0.00134412,0.00134412,0.00134412
5,124.005,1.25666,1.2062,1.49046,0.82457,0.74686,0.79596,0.52648,1.20601,1.09177,1.56856,0.00131582,0.00131582,0.00131582
6,143.865,1.22947,1.17312,1.47462,0.80235,0.78225,0.84801,0.54569,1.19928,0.9434,1.55049,0.00128753,0.00128753,0.00128753
7,165.715,1.18342,1.07385,1.43918,0.89009,0.81323,0.86692,0.5784,1.1619,0.85856,1.47549,0.00125923,0.00125923,0.00125923
8,187.429,1.16139,1.04972,1.4275,0.8616,0.85887,0.87088,0.59543,1.09828,0.86653,1.4659,0.00123094,0.00123094,0.00123094
9,207.805,1.12782,1.00192,1.40834,0.89856,0.8173,0.88214,0.60866,1.04547,0.76085,1.42791,0.00120265,0.00120265,0.00120265
10,229.709,1.11741,0.95653,1.39005,0.90045,0.80946,0.8452,0.58321,1.09249,0.85668,1.45383,0.00117435,0.00117435,0.00117435
11,251.368,1.0803,0.9314,1.37239,0.87513,0.83807,0.87575,0.61677,1.05174,0.78585,1.41175,0.00114606,0.00114606,0.00114606
12,271.058,1.06839,0.8972,1.35949,0.90143,0.85882,0.8975,0.64721,1.04266,0.6804,1.42992,0.00111776,0.00111776,0.00111776
